ai_calls_acceptance_probability,ai_calls_best_offer_probability,ai_calls_count_repeated,ai_calls_offers,ai_calls_pauses,ai_nb_calls,ai_offer,completion_code,feedback_accuracy,feedback_alternative,feedback_explanation,feedback_understanding,job_id,min_offer,min_offer_dss,min_offer_final,model_type,offer,offer_dss,offer_final,prop_time_spent,prop_time_spent_dss,prop_worker_id,resp_rowid,resp_time_spent,resp_worker_id,timestamp,worker_id
0.0069,0.0489,1,0,15,1,50,prop:VHkbN,ai_equal_to_proposer,4,4,4,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,5,5,5,real,0,0,0,7,13,A2T5N#####NTK2,29,18,A3SDF#####7FGP,2019-12-20 03:44:44.651035,A2T5N#####NTK2
0.0782,0.0007,1,20,51,1,50,prop:pyMb4,ai_much_worse,2,6,3,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,35,40,40,real,20,20,20,16,46,ANSS4#####8WM,28,55,A3B52#####8QIG,2019-12-20 03:45:03.568715,ANSS4#####8WM
0.706:0.1363,0.8212:0.0336,3,50:40,100:17,2,50,prop:xTV7m,ai_better,2,3,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,40,40,40,real,50,50,50,14,115,A1CIN#####8SGL,26,14,A2PSR#####1R9X,2019-12-20 03:45:38.999356,A1CIN#####8SGL
0.7877,0.3978,1,60,16,1,50,prop:c30DI,ai_better,2,2,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,25,15,15,real,50,55,55,10,15,A1KS9#####53CF,30,16,A8Z5S#####3GQ,2019-12-20 03:46:06.035295,A1KS9#####53CF
,,0,,,0,50,prop:LRLqu,ai_slighly_better,4,3,4,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,40,40,40,real,50,50,50,32,77,APO6K#####O9Q,27,17,A3O70#####LQMJ,2019-12-20 03:46:20.128964,APO6K#####O9Q
0.9277:0.95:1.0,0.0528:0.0353:0.0501,4,75:90:100,24:7:5,3,50,prop:XcBZa,ai_worse,4,5,3,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,15,40,40,real,75,75,75,8,47,AWE9A#####LNU,31,25,A175O#####LV3D,2019-12-20 03:47:20.286163,AWE9A#####LNU
0.706:0.0708:0.7877:0.1363,0.8212:0.0008:0.3978:0.0336,5,50:15:60:40,30:6:2:2,4,50,prop:cX2CE,ai_equal_to_proposer,2,1,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,100,15,15,real,50,50,50,7,44,A6FE2#####12V,32,33,A195Z#####BXPY,2019-12-20 03:49:07.577990,A6FE2#####12V
0.706,0.8212,1,50,29,1,50,prop:tdBGa,ai_sligthly_worse,2,3,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,30,30,30,real,50,50,50,10,30,A2YV9#####RIRL,33,72,AR8UA#####ABS,2019-12-20 03:50:00.180615,A2YV9#####RIRL
0.706,0.8212,1,50,39,1,50,prop:j7otJ,ai_equal_to_proposer,1,2,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,25,45,45,real,50,40,40,15,32,A3AG3#####FG1T,34,10,A18Q9#####HAQP,2019-12-20 03:50:12.900748,A3AG3#####FG1T
0.716,0.2681,1,55,12,1,50,prop:v92wf,ai_equal_to_proposer,3,4,3,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,0,35,35,real,95,55,55,8,8,A92XQ#####PVE,37,12,A1NCO#####HGKQ,2019-12-20 03:50:22.278918,A92XQ#####PVE
0.083,0.0007,1,25,31,1,50,prop:YXCLl,ai_equal_to_proposer,4,6,4,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,70,85,85,real,25,20,20,19,23,AHPHO#####JWE,38,8,A1OHP#####J0J6,2019-12-20 03:51:19.354522,AHPHO#####JWE
0.706,0.8212,1,50,51,1,50,prop:9W6s4,ai_equal_to_proposer,1,4,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,40,70,70,real,50,50,50,10,59,A2POU#####77VH,36,10,A1ZZU#####XZ2A,2019-12-20 03:51:21.689213,A2POU#####77VH
0.083:0.1363:0.706:0.1538,0.0007:0.0336:0.8212:0.0767,4,25:40:50:45,23:9:5:4,4,50,prop:zJ1u1,ai_equal_to_proposer,6,3,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,5,0,0,real,25,40,40,10,42,AK21U#####0ZB,39,16,AYISM#####ZD3,2019-12-20 03:51:56.866620,AK21U#####0ZB
0.7877,0.3978,1,60,40,1,50,prop:b7310,ai_much_worse,4,7,2,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,60,75,75,14,40,AFM65#####IGP,40,12,A27OF#####IQ0K,2019-12-20 03:52:00.673902,AFM65#####IGP
0.706,0.8212,1,50,96,1,50,prop:IVC40,ai_equal_to_proposer,1,3,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,65,65,real,50,50,50,19,89,A13OH#####SCIG,35,13,A3G7N#####DK94,2019-12-20 03:52:01.969977,A13OH#####SCIG
0.0681:0.0708:0.0782:0.083:0.706:0.1007,0.0009:0.0008:0.0007:0.0007:0.8212:0.0192,7,10:15:20:25:50:35,41:5:4:9:4:3,6,50,prop:Dc8sO,ai_worse,4,6,2,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,60,60,real,25,5,5,17,58,A31CY#####IG2B,41,21,AHYTT#####Y9Y,2019-12-20 03:52:23.509474,A31CY#####IG2B
,,0,,,0,50,prop:Ha9T5,ai_sligthly_worse,1,6,4,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,100,25,25,real,50,50,50,12,36,A2X4V#####0HFP,43,13,A35SQ#####3LUE,2019-12-20 03:52:40.465991,A2X4V#####0HFP
0.706,0.8212,1,50,39,1,50,prop:JQq8G,ai_equal_to_proposer,1,3,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,50,50,50,12,44,A2N93#####SB73,42,13,A2T88#####KPOU,2019-12-20 03:52:47.680131,A2N93#####SB73
0.706:0.1538,0.8212:0.0767,4,50:45,50:5,2,50,prop:OeLJA,ai_slighly_better,4,3,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,50,50,50,16,54,A2RP1#####TEB5,45,39,A34B8#####UZFV,2019-12-20 03:53:29.514518,A2RP1#####TEB5
0.716,0.2681,1,55,70,1,50,prop:5dd8H,ai_equal_to_proposer,2,1,7,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,55,55,55,16,64,A3B3H#####VD8A,44,7,A2ESE#####AEB7,2019-12-20 03:53:50.215089,A3B3H#####VD8A
0.706:0.9277:0.1363,0.8212:0.0528:0.0336,4,50:75:40,52:10:16,3,50,prop:aIPj8,ai_slighly_better,2,2,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,95,95,95,real,50,50,50,17,75,A3I55#####MWC4,46,15,A1HAO#####T43K,2019-12-20 03:54:04.105520,A3I55#####MWC4
0.706:0.716:0.1538,0.8212:0.2681:0.0767,4,50:55:45,38:19:6,3,50,prop:ZGdbG,ai_equal_to_proposer,2,2,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,30,30,30,real,50,50,50,12,63,A2HGF#####W1PK,47,11,A3CYH#####79E5,2019-12-20 03:54:49.240287,A2HGF#####W1PK
0.706,0.8212,1,50,64,1,50,prop:thaai,ai_equal_to_proposer,4,2,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,50,50,50,19,58,A33VG#####ORMF,48,22,A12RO#####KYJ9,2019-12-20 03:55:01.962550,A33VG#####ORMF
0.706,0.8212,1,50,72,1,50,prop:usvuk,ai_better,2,2,7,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,50,50,50,20,68,A3IMX#####DGAF,49,9,A12IH#####IPD1,2019-12-20 03:55:33.256106,A3IMX#####DGAF
0.0899:0.706:0.1363,0.0013:0.8212:0.0336,3,30:50:40,61:11:4,3,50,prop:uNdpn,ai_equal_to_proposer,2,2,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,20,30,30,real,50,50,50,12,74,A27W0#####S1G0,50,16,A3O1S#####XL4K,2019-12-20 03:55:38.409400,A27W0#####S1G0
,,0,,,0,50,prop:MAZSA,ai_equal_to_proposer,2,3,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,60,60,real,50,40,40,9,34,A23OR#####UVMM,52,9,A38JB#####E7A0,2019-12-20 03:55:52.330531,A23OR#####UVMM
,,0,,,0,50,prop:Ju5PD,ai_equal_to_proposer,4,4,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,80,100,100,real,50,50,50,14,35,A2PBI#####M5MD,53,16,A2NAD#####0ZQT,2019-12-20 03:56:00.835125,A2PBI#####M5MD
